Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
9632.292498,0.00071831,-56.38195575,-48.98873317
9715.929513,0.007644076,-55.13535838,-50.35211038
9800.292747,0.008042179,-54.20351176,-48.86618287
9885.388505,0.007749681,-53.106593,-52.45215471
9971.223148,0.00574662,-51.65263464,-54.4752613
10057.80309,-0.004794859,-50.56892267,-55.9614762
10145.13481,0.004660053,-49.36945196,-57.36631822
10233.22482,0.008221719,-48.10972926,-59.28222349
10322.07972,0.007657983,-46.98171176,-62.43292351
10411.70615,0.008253273,-45.91377791,-63.90512138
10502.1108,0.005604817,-44.67254201,-65.90037302
10593.30043,-0.006396359,-43.44594358,-67.99101953
10685.28186,0.005645436,-42.21665719,-69.78462982
10778.06196,0.008756278,-40.92625251,-72.77368251
10871.64767,0.008114074,-39.71449284,-73.42494626
10966.04598,0.008535357,-38.46742259,-77.18214588
11061.26395,0.007359892,-37.29248494,-79.56728753
11157.3087,-0.001350336,-35.91783316,-81.87667808
11254.1874,0.003336465,-34.67110072,-84.83478651
11351.9073,0.008074535,-33.24564258,-87.12369611
11450.4757,0.008992341,-31.82914815,-90.13138553
11549.89997,0.008771601,-30.54365223,-93.3924019
11650.18753,0.009379031,-29.18336888,-96.67912186
11751.34589,0.005588784,-27.68145043,-99.96521676
11853.38261,-0.006214635,-26.29052483,-103.5468358
11956.3053,0.006872799,-24.83104898,-107.3115146
12060.12168,0.009223167,-23.28342925,-111.2209331
12164.83949,0.008758291,-21.70712495,-115.5253375
12270.46656,0.008335341,-20.06310934,-120.3413922
12377.01079,0.009608349,-18.44086867,-125.5256052
12484.48015,0.005695018,-16.66696395,-130.6350093
12592.88265,-0.005954589,-14.85660519,-136.4360812
12702.22642,0.007846063,-12.97838898,-143.619036
12812.51961,0.010006691,-10.98268473,-151.6756563
12923.77048,0.008668495,-8.91345402,-160.9862681
13035.98734,0.009382961,-6.791684855,-172.5413033
13149.17857,0.009021244,-4.70441696,173.3638716
13263.35264,0.009397642,-2.843943648,156.4724099
13378.51808,0.001472569,-1.449378552,137.7032146
13494.68351,0.002985854,-0.578792662,119.0742074
13611.85759,0.00950252,-0.157577515,101.856411
13730.04909,0.009898197,-0.031527403,86.56775946
13849.26685,0.009844085,-0.05484217,73.12809947
13969.51978,0.009450792,-0.138872973,61.32858357
14090.81686,0.010256116,-0.256917072,50.61774421
14213.16715,0.010195568,-0.369302655,40.90093283
14336.57982,0.002552021,-0.458326542,31.90181168
14461.06407,0.004426908,-0.532200831,23.44920433
14586.62922,0.009837264,-0.576344085,15.38058413
14713.28465,0.010732391,-0.601639904,7.661043478
14841.03982,0.009980389,-0.618128232,0.243557919
14969.90429,0.012032753,-0.618132038,-6.929055636
15099.88769,0.01084233,-0.608349742,-13.9153762
15230.99973,0.011705616,-0.592783574,-20.70623762
15363.25022,0.008911411,-0.571905407,-27.38399083
15496.64903,-0.004171296,-0.548146319,-33.92679757
15631.20614,0.008215566,-0.521297213,-40.28071347
15766.93161,0.011051218,-0.500319068,-46.53833151
15903.83559,0.01129637,-0.471615961,-52.66080448
16041.92829,0.011422893,-0.440539415,-58.64662814
16181.22006,0.011686292,-0.421630737,-64.57542696
16321.72129,0.011981839,-0.391947513,-70.37471362
16463.44249,0.011579101,-0.367619059,-76.08665304
16606.39425,0.010328002,-0.347418571,-81.67815263
16750.58726,0.000609943,-0.32989376,-87.1901622
16896.03229,0.008036816,-0.309604601,-92.55374358
17042.74022,0.011777394,-0.28915483,-97.86507404
17190.72202,0.011445338,-0.276147057,-103.110077
17339.98874,0.012008705,-0.261947018,-108.2355953
17490.55153,0.012370024,-0.251181311,-113.2857554
17642.42166,0.010140395,-0.237741882,-118.267627
17795.61048,0.012364437,-0.226523124,-123.1557973
17950.12943,0.012058921,-0.216290883,-127.9952467
18105.99007,0.011693213,-0.213307699,-132.7194626
18263.20404,0.00120442,-0.2088445,-137.3935384
18421.7831,0.007695665,-0.204491766,-141.9842507
18581.7391,0.013313481,-0.204709332,-146.5202119
18743.08399,0.012773849,-0.201217659,-150.9659402
18905.82984,0.012657298,-0.202214836,-155.3603964
19069.9888,0.013437915,-0.205265824,-159.6705036
19235.57316,0.011739613,-0.208171105,-163.9447847
19402.59528,-0.000507874,-0.212330022,-168.1221708
19571.06765,0.012520219,-0.217680275,-172.2514374
19741.00286,0.013674991,-0.223751606,-176.3188035
19912.41362,0.013018783,-0.231367003,179.6754784
20085.31274,0.003368566,-0.238452775,175.7188701
20259.71313,0.009178974,-0.248532396,171.8325125
20435.62784,0.014914503,-0.255357517,167.9908798
20613.07001,0.013380334,-0.265488091,164.2177892
20792.05291,0.01396082,-0.274724586,160.4893419
20972.58992,0.01493555,-0.282187053,156.8105963
21154.69452,0.01387225,-0.292253042,153.1918258
