Freq.	V(n009)/I(C3)
Step Information: Run=1  (Run: 1/20)
6.45654229034654e+003	(1.07976292953142e+002dB,1.00153390629472e+002°)
6.60693448007595e+003	(1.07782775868299e+002dB,1.00384649243784e+002°)
6.76082975391980e+003	(1.07589553955465e+002dB,1.00620929805637e+002°)
6.91830970918935e+003	(1.07396640161736e+002dB,1.00862324422905e+002°)
7.07945784384136e+003	(1.07204047956441e+002dB,1.01108925712559e+002°)
7.24435960074989e+003	(1.07011791347977e+002dB,1.01360826711742e+002°)
7.41310241300916e+003	(1.06819884900795e+002dB,1.01618120781376e+002°)
7.58577575029182e+003	(1.06628343752474e+002dB,1.01880901501928e+002°)
7.76247116628690e+003	(1.06437183630851e+002dB,1.02149262560947e+002°)
7.94328234724280e+003	(1.06246420871146e+002dB,1.02423297632016e+002°)
8.12830516164097e+003	(1.06056072433024e+002dB,1.02703100244727e+002°)
8.31763771102669e+003	(1.05866155917532e+002dB,1.02988763645318e+002°)
8.51138038202374e+003	(1.05676689583826e+002dB,1.03280380647596e+002°)
8.70963589956079e+003	(1.05487692365629e+002dB,1.03578043473792e+002°)
8.91250938133744e+003	(1.05299183887319e+002dB,1.03881843584990e+002°)
9.12010839355908e+003	(1.05111184479556e+002dB,1.04191871500815e+002°)
9.33254300796989e+003	(1.04923715194346e+002dB,1.04508216608049e+002°)
9.54992586021434e+003	(1.04736797819448e+002dB,1.04830966957897e+002°)
9.77237220955809e+003	(1.04550454891975e+002dB,1.05160209051644e+002°)
9.99999999999998e+003	(1.04364709711099e+002dB,1.05496027614468e+002°)
1.02329299228075e+004	(1.04179586349695e+002dB,1.05838505357244e+002°)
1.04712854805090e+004	(1.03995109664812e+002dB,1.06187722726183e+002°)
1.07151930523760e+004	(1.03811305306783e+002dB,1.06543757640240e+002°)
1.09647819614318e+004	(1.03628199726854e+002dB,1.06906685216252e+002°)
1.12201845430196e+004	(1.03445820183135e+002dB,1.07276577481873e+002°)
1.14815362149688e+004	(1.03264194744713e+002dB,1.07653503076414e+002°)
1.17489755493953e+004	(1.03083352293742e+002dB,1.08037526939800e+002°)
1.20226443461741e+004	(1.02903322525314e+002dB,1.08428709989949e+002°)
